Name,Weight,Value,PrimaryEffect,SecondaryEffect,TertiaryEffect,QuaternaryEffect
Morning Glory Root Pulp,0.1,1,Burden,Damage Willpower,Frost Shield,Damage Magicka
Mort Flesh,2,10,Damage Fatigue,Damage Luck,Fortify Health,Silence
Motherwort Sprig,0.1,1,Resist Poison,Damage Fatigue,Silence,Invisibility
Mugwort Seeds,0.1,1,Restore Health,,,
Mutton,2,2,Fortify Health,Damage Fatigue,Dispel,Damage Magicka
Nightshade,0.1,1,Damage Health,Burden,Damage Luck,Fortify Magicka
Nirnroot,0.2,0,Drain Health,Drain Fatigue,Drain Agility,Drain Speed
Ogre's Teeth,3,75,Damage Intelligence,Resist Paralysis,Shock Damage,Fortify Strength
Onion,0.2,1,Restore Fatigue,Water Breathing,Detect Life,Damage Health
Orange,0.2,2,Restore Fatigue,Detect Life,Burden,Shield
Painted Troll Fat,2,75,Fortify Magicka,Restore Health,Fortify Health,Restore Magicka
Pear,0.2,1,Restore Fatigue,Damage Speed,Fortify Speed,Damage Health
Peony Seeds,0.1,1,Restore Strength,Damage Health,Damage Speed,Restore Fatigue
Potato,0.2,1,Restore Fatigue,Shield,Burden,Frost Shield
Primrose Leaves,0.1,3,Restore Willpower,Restore Personality,Fortify Luck,Damage Strength
Pumpkin,5,2,Restore Fatigue,Damage Agility,Damage Personality,Detect Life
Purgeblood Salts,0.4,0,Restore Magicka,Damage Health,Fortify Magicka,Dispel
Radish,0.1,1,Restore Fatigue,Damage Endurance,Chameleon,Burden
Rat Meat,0.5,1,Damage Fatigue,Detect Life,Damage Magicka,Silence
Redwort Flower,0.1,4,Resist Frost,Cure Poison,Damage Health,Invisibility
Rice,0.2,1,Restore Fatigue,Silence,Shock Shield,Damage Agility
Root Pulp,0.1,1,Cure Disease,Damage Willpower,Fortify Strength,Damage Intelligence
Sacred Lotus Seeds,0.1,1,Resist Frost,Damage Health,Feather,Dispel
Scales,0.1,5,Damage Willpower,Water Breathing,Damage Health,Water Walking
Scamp Skin,1.5,10,Damage Magicka,Resist Shock,Reflect Damage,Damage Health
Shepherd's Pie,1,0,Cure Disease,Shield,Fortify Agility,Dispel
S'jirra's Famous Potato Bread,0.5,30,Detect Life,Restore Health,Damage Agility,Damage Strength
Somnalius Frond,0.1,3,Restore Speed,Damage Endurance,Fortify Health,Feather
Spiddal Stick,0.1,2,Damage Magicka,Damage Health,Fire Damage,Restore Fatigue
St. Jahn's Wort Nectar,0.1,5,Resist Shock,Damage Health,Cure Poison,Chameleon
SteelBlue Entoloma Cap,0.1,1,Restore Magicka,Fire Damage,Resist Frost,Burden
Stinkhorn Cap,0.1,3,Damage Health,Restore Magicka,Water Walking,Invisibility
Strawberry,0.1,1,Restore Fatigue,Cure Poison,Damage Health,Reflect Damage
Summer Bolete Cap,0.1,1,Restore Agility,Shield,Damage Personality,Damage Endurance
Sweetcake,0.2,1,Restore Fatigue,Feather,Restore Health,Burden
Sweetroll,0.2,1,Restore Fatigue,Resist Disease,Damage Personality,Fortify Health
Taproot,0.3,1,Restore Luck,Damage Endurance,Resist Poison,Shock Shield
Tiger Lily Nectar,0.1,3,Restore Endurance,Damage Strength,Water Walking,Damage Willpower
Tinder Polypore Cap,0.1,1,Restore Willpower,Resist Disease,Invisibility,Damage Magicka
Tobacco,0.1,5,Restore Fatigue,Resist Paralysis,Damage Magicka,Dispel
Tomato,0.2,2,Restore Fatigue,Detect Life,Burden,Shield
Troll Fat,2,25,Damage Agility,Fortify Personality,Damage Willpower,Damage Health
Vampire Dust,0.2,50,Silence,Resist Disease,Frost Damage,Invisibility
Venison,2,1,Restore Health,Feather,Damage Health,Chameleon
Viper's Bugloss Leaves,0.1,1,Resist Paralysis,NightEye,Burden,Cure Paralysis
Void Salts,0.4,30,Restore Magicka,Damage Health,Fortify Magicka,Dispel
Water Hyacinth Nectar,0.1,2,Damage Luck,Damage Fatigue,Restore Magicka,Fortify Magicka
Watermelon,5,2,Restore Fatigue,Light,Burden,Damage Health
Wheat Grain,0.2,1,Restore Fatigue,Damage Magicka,Fortify Health,Damage Personality
White Seed Pod,0.1,5,Restore Strength,Water Breathing,Silence,Light
Wisp Stalk Caps,0.1,1,Damage Health,Damage Willpower,Damage Intelligence,Fortify Speed
Wormwood Leaves,0.1,2,Fortify Fatigue,Invisibility,Damage Health,Damage Magicka
